ID	AGE Log (text)
Age7Log1	Казалось, что кушать каждый день овсянку  - это тяжело. Нет. Вставать каждый день в семь утра - вот что тяжело.
Age7Log2	В школьной библиотеке очень много красивых книжек, но на руки дают только одну.
Age7Log3	Что мне снег, что мне слякоть, на первый урок нельзя опаздывать.
Age7Log4	Кто придумал пятидневную неделю? Найти, и поставить в угол!
Age7Log5	Казалось, что кушать каждый день овсянку  - это тяжело. Нет. Вставать каждый день в семь утра - вот что тяжело.
Age7Log6	В школьной библиотеке очень много красивых книжек, но на руки дают только одну.
Age7Log7	Что мне снег, что мне слякоть, на первый урок нельзя опаздывать.
Age7Log8	Кто придумал пятидневную неделю? Найти, и поставить в угол!
Age7Log9	Казалось, что кушать каждый день овсянку  - это тяжело. Нет. Вставать каждый день в семь утра - вот что тяжело.
Age7Log10	Кто придумал пятидневную неделю? Найти, и поставить в угол!
Age8Log1	Почему каникулы летят быстрее, чем один урок арифметики?
Age8Log2	Мне не разрешают ходить в школу в пижаме! Это не честно, она такая удобная!
Age8Log3	Сколько будет дважды два? Пять! Так сказал Большой брат!
Age8Log4	В школьном дворе есть красивый фонтан с рыбками. Вчера одноклассники ловили их сачком, и теперь они наказаны.
Age8Log5	Почему каникулы летят быстрее, чем один урок арифметики?
Age8Log6	Мне не разрешают ходить в школу в пижаме! Это не честно, она такая удобная!
Age8Log7	Сколько будет дважды два? Пять! Так сказал Большой брат!
Age8Log8	В школьном дворе есть красивый фонтан с рыбками. Вчера одноклассники ловили их сачком, и теперь они наказаны.
Age8Log9	Почему каникулы летят быстрее, чем один урок арифметики?
Age8Log10	Мне не разрешают ходить в школу в пижаме! Это не честно, она такая удобная!
Age9Log1	Нам задали написать сочинение о том, как прошло лето. "Быстро!". Мне влепили двойку.
Age9Log2	По телевизору сказали, что этот год будет на секунду длиннее предыдущего.
Age9Log3	Закончился любимый бразильский сериал уборщицы. Так что в школу теперь - только со сменкой.
Age9Log4	Я понимаю, что чистить зубы очень полезно и необходимо. Но почему каждый день и по два раза?
Age9Log5	Нам задали написать сочинение о том, как прошло лето. "Быстро!" Мне влепили двойку.
Age9Log6	По телевизору сказали, что этот год будет на секунду длиннее предыдущего.
Age9Log7	Закончился любимый бразильский сериал уборщицы. Так что в школу теперь - только со сменкой.
Age9Log8	Я понимаю, что чистить зубы очень полезно и необходимо. Но почему каждый день и по два раза?
Age9Log9	По телевизору сказали, что этот год будет на секунду длиннее предыдущего.
Age9Log10	Закончился любимый бразильский сериал уборщицы. Так что в школу теперь - только со сменкой.
Age10Log1	В нашу школу приезжал мужчина в дорогом костюме и с серьезным лицом. Теперь у нас будут новые шторы во всех классах.
Age10Log2	В нашу школу приезжал мужчина в дорогом костюме и с серьезным лицом. Теперь у нас будут новые шторы во всех классах.
Age10Log3	В нашу школу приезжал мужчина в дорогом костюме и с серьезным лицом. Теперь у нас будут новые шторы во всех классах.
Age10Log4	В нашу школу приезжал мужчина в дорогом костюме и с серьезным лицом. Теперь у нас будут новые шторы во всех классах.
Age10Log5	В нашу школу приезжал мужчина в дорогом костюме и с серьезным лицом. Теперь у нас будут новые шторы во всех классах.
Age10Log6	В нашу школу приезжал мужчина в дорогом костюме и с серьезным лицом. Теперь у нас будут новые шторы во всех классах.
Age10Log7	В нашу школу приезжал мужчина в дорогом костюме и с серьезным лицом. Теперь у нас будут новые шторы во всех классах.
Age10Log8	В нашу школу приезжал мужчина в дорогом костюме и с серьезным лицом. Теперь у нас будут новые шторы во всех классах.
Age10Log9	В нашу школу приезжал мужчина в дорогом костюме и с серьезным лицом. Теперь у нас будут новые шторы во всех классах.
Age10Log10	В нашу школу приезжал мужчина в дорогом костюме и с серьезным лицом. Теперь у нас будут новые шторы во всех классах.
