ID	AGE Log (text)
Age23Log1	У меня появилось три седых волоса. Наверное из-за стресса. Ну, не из-за возраста же
Age23Log2	У меня появилось три седых волоса. Наверное из-за стресса. Ну, не из-за возраста же
Age23Log3	У меня появилось три седых волоса. Наверное из-за стресса. Ну, не из-за возраста же
Age23Log4	У меня появилось три седых волоса. Наверное из-за стресса. Ну, не из-за возраста же
Age23Log5	У меня появилось три седых волоса. Наверное из-за стресса. Ну, не из-за возраста же
Age23Log6	У меня появилось три седых волоса. Наверное из-за стресса. Ну, не из-за возраста же
Age23Log7	У меня появилось три седых волоса. Наверное из-за стресса. Ну, не из-за возраста же
Age23Log8	У меня появилось три седых волоса. Наверное из-за стресса. Ну, не из-за возраста же
Age23Log9	У меня появилось три седых волоса. Наверное из-за стресса. Ну, не из-за возраста же
Age23Log10	У меня появилось три седых волоса. Наверное из-за стресса. Ну, не из-за возраста же
Age24Log1	Черная полоса в жизни, белая полоса... Интересно, каких больше?
Age24Log2	Черная полоса в жизни, белая полоса... Интересно, каких больше?
Age24Log3	Черная полоса в жизни, белая полоса... Интересно, каких больше?
Age24Log4	Черная полоса в жизни, белая полоса... Интересно, каких больше?
Age24Log5	Черная полоса в жизни, белая полоса... Интересно, каких больше?
Age24Log6	Черная полоса в жизни, белая полоса... Интересно, каких больше?
Age24Log7	Черная полоса в жизни, белая полоса... Интересно, каких больше?
Age24Log8	Черная полоса в жизни, белая полоса... Интересно, каких больше?
Age24Log9	Черная полоса в жизни, белая полоса... Интересно, каких больше?
Age24Log10	Черная полоса в жизни, белая полоса... Интересно, каких больше?
Age25Log1	Раньше у меня была искренняя улыбка. Сейчас уже нет, зато я лучше знаю людей.
Age25Log2	Раньше у меня была искренняя улыбка. Сейчас уже нет, зато я лучше знаю людей.
Age25Log3	Раньше у меня была искренняя улыбка. Сейчас уже нет, зато я лучше знаю людей.
Age25Log4	Раньше у меня была искренняя улыбка. Сейчас уже нет, зато я лучше знаю людей.
